0	780	17647	+
0	1180	17364	+
0	1621	18517	-
0	197	14310	-
0	1180	8318	-
0	1622	8433	-
0	1064	11844	-
0	1775	7729	-
0	1064	5820	+
0	780	3360	-
0	1775	4943	+
0	1826	4907	-
0	1905	810	-
0	1775	288	-
0	856	179	+
0	1536	4538	-
1	1442	15492	-
1	137	6191	+
1	1467	6080	+
1	1683	4054	-
1	150	3327	+
1	1471	2419	+
1	1670	1243	-
1	1191	1555	-
1	1421	1780	-
1	781	1455	-
1	1683	817	-
1	1683	3058	-
1	930	5872	-
1	251	551	-
2	1040	2486	-
2	1379	1895	-
2	1966	7974	+
2	1724	4651	+
2	850	4864	+
2	543	3396	+
2	318	2312	+
2	327	1305	+
2	1694	3154	+
2	653	4259	+
2	951	1110	+
2	949	1893	-
2	1958	3969	+
2	1264	832	-
2	1246	1213	+
2	1515	1994	+
2	490	1812	+
2	1230	2185	+
2	819	1810	+
2	1425	1866	-
3	8	244	-
4	4	21323	-
4	1915	413	+
4	1073	5810	-
4	900	4398	-
4	649	126	-
4	9	121	-
4	1311	110	-
4	677	4992	-
5	1245	15222	+
5	1245	15926	-
5	1740	18046	-
5	1196	14092	-
5	17	15754	+
5	783	14684	+
5	955	7597	-
5	1973	4070	+
5	1973	4457	-
5	1973	4216	-
5	1973	4408	+
5	1973	4107	+
5	1973	4494	-
5	1973	2696	-
5	1472	3350	+
5	1875	4985	-
5	840	2279	-
5	783	1698	+
5	1875	1088	+
5	1740	653	+
5	946	552	-
5	1664	8011	-
5	1491	2546	-
6	140	1761	+
6	1926	1452	+
6	1137	1665	+
6	1292	1583	+
6	6	1545	+
6	1926	2197	+
6	1510	898	+
6	6	1532	+
6	1926	1635	+
6	98	711	-
6	1137	1078	+
6	1974	1590	+
6	844	1732	+
6	1510	1194	+
6	1922	1207	+
6	206	592	+
6	6	1568	+
6	1926	859	+
6	1260	1609	+
6	1137	1202	+
6	1974	637	+
6	761	831	+
6	844	1540	+
6	1292	1724	+
6	1974	1293	+
6	6	1557	+
6	1510	800	+
6	1926	503	+
6	6	1409	+
6	6	1248	+
6	844	1317	+
6	6	550	+
6	6	1238	+
6	1510	189	+
6	1974	1427	+
6	989	560	+
6	1974	468	+
6	1494	559	+
6	1292	681	+
6	989	170	+
6	1260	309	+
6	1930	211	+
6	1137	1293	+
6	6	1398	+
6	1137	660	+
6	1930	380	+
6	1926	331	+
7	1931	19865	+
7	7	9344	-
7	1338	4512	+
7	1931	4180	-
7	760	1852	-
7	760	2039	+
7	1961	1506	+
7	1338	1811	-
7	1961	1469	+
7	1961	3752	-
7	1931	2259	-
7	1931	10239	+
7	1338	4703	-
7	1961	1490	-
8	829	1192	-
8	173	1327	+
8	1482	2424	+
8	1154	3536	-
8	1307	2278	-
8	120	3477	-
8	173	2724	+
8	1984	2290	-
8	1343	3859	-
8	120	2357	-
8	1482	1251	+
8	173	2257	+
8	1247	2902	-
8	1672	2300	-
8	1672	2129	-
8	1307	3230	-
8	1247	3229	-
8	173	2249	+
8	829	3485	-
8	1114	2497	-
8	120	2339	-
8	1247	2792	-
8	173	3443	+
8	171	2409	+
8	1984	203	-
8	1343	790	-
8	1247	855	-
8	1343	3937	-
8	1247	3239	-
8	1661	2325	+
8	1984	2349	-
8	1942	165	-
8	1482	376	+
8	120	4463	-
8	1482	5118	+
8	1343	782	-
8	1114	2366	-
